beach,summer
ski resort,winter
hiking trail,spring
waterfall,spring
cruise,summer
camping,summer
surfing,summer
kayaking,summer
parasailing,summer
snowboarding,winter
sailing,summer
rafting,summer
fishing,summer
snorkeling,summer
swimming,summer
picnic,spring
beach,summer
ski resort,winter
hiking trail,spring
waterfall,spring
cruise,summer
camping,summer
surfing,summer
kayaking,summer
parasailing,summer
snowboarding,winter
sailing,summer
rafting,summer
fishing,summer
snorkeling,summer
swimming,summer
picnic,spring
botanical garden,spring
wine tasting,fall
hot air ballooning,fall
cherry blossom viewing,spring
apple picking,fall
pumpkin patch visit,fall
ice skating,winter
horseback riding,spring
biking tour,summer
wildlife safari,fall
kite festival,spring
ski jumping,winter
harvest festival,fall
orchard visit,fall
